node,centr_close_wt,centr_close_in_wt,centr_close_out_wt
109,0.0000130462,0.0000237234,2.3690717E-6
68,0.0000132106,0.0000240497,2.3714257E-6
72,0.000013213,0.0000240545,2.371429E-6
34,8.0825247E-6,0.0000141327,2.0323918E-6
95,0.0000127035,0.0000230414,2.365602E-6
111,0.0000131047,0.0000238396,2.369735E-6
54,0.0000126863,0.0000230449,2.3276957E-6
55,0.0000130789,0.000023799,2.3588616E-6
88,0.0000132151,0.0000240589,2.3713952E-6
21,0.0000132157,0.00002406,2.3714029E-6
4,1.6375564E-6,4.3849017E-7,2.8366226E-6
121,5.6732596E-6,9.3369766E-6,2.0095425E-6
127,0.000010739,0.0000191119,2.3661914E-6
119,0.0000117823,0.0000212067,2.3578755E-6
38,0.0000129529,0.0000235365,2.3691961E-6
105,0.0000131017,0.0000238367,2.366786E-6
52,0.0000131987,0.0000240263,2.3711563E-6
3,1.6506793E-6,4.3849019E-7,2.8628683E-6
126,0.0000124227,0.0000224819,2.3634439E-6
27,0.0000130847,0.0000238011,2.3682294E-6
23,0.0000132129,0.0000240544,2.3712984E-6
125,5.9757532E-6,9.8037704E-6,2.1477361E-6
37,0.0000131334,0.0000238959,2.3708921E-6
90,0.0000131689,0.0000239665,2.3712391E-6
29,0.0000131777,0.0000239843,2.371123E-6
7,1.6491588E-6,4.3849019E-7,2.8598274E-6
116,0.000011107,0.0000198743,2.339781E-6
114,0.0000116736,0.0000209794,2.3678243E-6
31,0.0000126882,0.0000230059,2.3706054E-6
22,0.000013211,0.0000240506,2.3713021E-6
98,1.4704718E-6,4.6715813E-7,2.4737855E-6
56,1.4833841E-6,4.8893555E-7,2.4778326E-6
2,1.6479361E-6,4.3849019E-7,2.8573821E-6
123,0.0000129103,0.00002345,2.3706379E-6
89,0.0000131835,0.0000239973,2.3697454E-6
124,1.4607146E-6,4.4555943E-7,2.4758697E-6
6,1.6488826E-6,4.3849019E-7,2.859275E-6
14,1.6506863E-6,4.3849019E-7,2.8628825E-6
47,0.0000130421,0.0000237148,2.3694338E-6
82,0.0000132144,0.0000240574,2.371395E-6
57,0.0000246894,0.0000493788,0
11,1.6511694E-6,4.3849019E-7,2.8638486E-6
51,0.0000131353,0.0000239,2.3705573E-6
108,0.0000131798,0.0000239886,2.3710423E-6
92,0.00001321,0.0000240487,2.3713476E-6
5,1.580216E-6,4.3849019E-7,2.7219418E-6
96,0.0000132022,0.000024033,2.3714134E-6
62,0.0000132114,0.0000240513,2.3714589E-6
50,0.0000131231,0.0000238751,2.371073E-6
77,0.0000132161,0.0000240607,2.3714058E-6
118,0.000012653,0.000022939,2.3669877E-6
103,0.0000131284,0.000023886,2.370775E-6
101,0.000013168,0.000023965,2.3710696E-6
39,0.0000131826,0.0000239939,2.37122E-6
84,1.4618748E-6,4.455626E-7,2.478187E-6
45,0.0000128748,0.0000233814,2.3681114E-6
104,0.0000132043,0.0000240373,2.3711869E-6
70,0.0000132049,0.0000240384,2.3713342E-6
60,0.0000132135,0.0000240556,2.3714756E-6
80,0.0000132135,0.0000240558,2.3713096E-6
64,0.0000132137,0.0000240559,2.3714767E-6
61,0.0000132137,0.0000240559,2.371477E-6
59,0.0000132137,0.0000240559,2.3714767E-6
63,0.0000132137,0.0000240559,2.3714769E-6
58,0.0000132137,0.000024056,2.3714771E-6
18,0.0000132137,0.000024056,2.3714771E-6
74,1.4597562E-6,4.4199806E-7,2.4775143E-6
19,1.5394112E-6,4.8464664E-7,2.5941757E-6
9,1.5803493E-6,4.3849019E-7,2.7222085E-6
49,0.0000131616,0.0000239529,2.3703573E-6
13,1.4581301E-6,4.3849019E-7,2.47777E-6
42,0.000013209,0.0000240466,2.3714419E-6
30,0.0000131226,0.0000238751,2.3700578E-6
28,0.0000131399,0.0000239089,2.3709706E-6
93,0.0000131577,0.0000239445,2.3709822E-6
32,0.0000131757,0.0000239802,2.3711448E-6
69,0.0000131841,0.000023997,2.3711573E-6
